/home/dragosrazvan/Sustainable-API/bash
[Fri  7 Apr 09:58:36 BST 2023]
27[Fri  7 Apr 17:48:21 BST 2023]
28[Fri  7 Apr 17:53:24 BST 2023]
29[Fri  7 Apr 17:58:27 BST 2023]
30[Fri  7 Apr 18:03:30 BST 2023]
1[Fri  7 Apr 18:13:34 BST 2023]
2[Fri  7 Apr 18:18:37 BST 2023]
3[Fri  7 Apr 18:23:42 BST 2023]
4[Fri  7 Apr 18:28:46 BST 2023]
5[Fri  7 Apr 18:33:50 BST 2023]
6[Fri  7 Apr 18:38:53 BST 2023]
7[Fri  7 Apr 18:43:57 BST 2023]
8[Fri  7 Apr 18:49:01 BST 2023]
9[Fri  7 Apr 18:54:05 BST 2023]
10[Fri  7 Apr 18:59:09 BST 2023]
11[Fri  7 Apr 19:04:12 BST 2023]
12[Fri  7 Apr 19:09:16 BST 2023]
13[Fri  7 Apr 19:14:20 BST 2023]
14[Fri  7 Apr 19:19:24 BST 2023]
14[Fri  7 Apr 19:24:27 BST 2023]
15[Fri  7 Apr 19:29:31 BST 2023]
16[Fri  7 Apr 19:34:35 BST 2023]
17[Fri  7 Apr 19:39:39 BST 2023]
18[Fri  7 Apr 19:44:43 BST 2023]
19[Fri  7 Apr 19:49:47 BST 2023]
20[Fri  7 Apr 19:54:50 BST 2023]
21[Fri  7 Apr 19:59:54 BST 2023]
22[Fri  7 Apr 20:04:58 BST 2023]
23[Fri  7 Apr 20:10:02 BST 2023]
24[Fri  7 Apr 20:15:05 BST 2023]
25[Fri  7 Apr 20:20:09 BST 2023]
26[Fri  7 Apr 20:25:13 BST 2023]
27[Fri  7 Apr 20:30:17 BST 2023]
28[Fri  7 Apr 20:35:20 BST 2023]
29[Fri  7 Apr 20:40:24 BST 2023]
30[Fri  7 Apr 20:45:28 BST 2023]
1[Fri  7 Apr 20:55:32 BST 2023]
2[Fri  7 Apr 21:00:36 BST 2023]
3[Fri  7 Apr 21:05:40 BST 2023]
4[Fri  7 Apr 21:10:44 BST 2023]
5[Fri  7 Apr 21:15:48 BST 2023]
6[Fri  7 Apr 21:20:52 BST 2023]
7[Fri  7 Apr 21:25:55 BST 2023]
8[Fri  7 Apr 21:30:59 BST 2023]
9[Fri  7 Apr 21:36:03 BST 2023]
10[Fri  7 Apr 21:41:07 BST 2023]
11[Fri  7 Apr 21:46:11 BST 2023]
12[Fri  7 Apr 21:51:14 BST 2023]
13[Fri  7 Apr 21:56:18 BST 2023]
14[Fri  7 Apr 22:01:22 BST 2023]
14[Fri  7 Apr 22:06:26 BST 2023]
15[Fri  7 Apr 22:11:30 BST 2023]
16[Fri  7 Apr 22:16:33 BST 2023]
17[Fri  7 Apr 22:21:37 BST 2023]
18[Fri  7 Apr 22:26:41 BST 2023]
19[Fri  7 Apr 22:31:45 BST 2023]
20[Fri  7 Apr 22:36:48 BST 2023]
21[Fri  7 Apr 22:41:52 BST 2023]
22[Fri  7 Apr 22:46:56 BST 2023]
23[Fri  7 Apr 22:52:00 BST 2023]
24[Fri  7 Apr 22:57:04 BST 2023]
25[Fri  7 Apr 23:02:07 BST 2023]
26[Fri  7 Apr 23:07:11 BST 2023]
27[Fri  7 Apr 23:12:15 BST 2023]
28[Fri  7 Apr 23:17:19 BST 2023]
29[Fri  7 Apr 23:22:22 BST 2023]
30[Fri  7 Apr 23:27:26 BST 2023]
1[Fri  7 Apr 23:37:30 BST 2023]
2[Fri  7 Apr 23:42:35 BST 2023]
3[Fri  7 Apr 23:47:39 BST 2023]
4[Fri  7 Apr 23:52:43 BST 2023]
5[Fri  7 Apr 23:57:47 BST 2023]
6[Sat  8 Apr 00:02:50 BST 2023]
7[Sat  8 Apr 00:07:54 BST 2023]
8[Sat  8 Apr 00:12:58 BST 2023]
9[Sat  8 Apr 00:18:02 BST 2023]
10[Sat  8 Apr 00:23:06 BST 2023]
11[Sat  8 Apr 00:28:09 BST 2023]
12[Sat  8 Apr 00:33:13 BST 2023]
13[Sat  8 Apr 00:38:17 BST 2023]
14[Sat  8 Apr 00:43:21 BST 2023]
14[Sat  8 Apr 00:48:24 BST 2023]
15[Sat  8 Apr 00:53:28 BST 2023]
16[Sat  8 Apr 00:58:32 BST 2023]
17[Sat  8 Apr 01:03:36 BST 2023]
18[Sat  8 Apr 01:08:40 BST 2023]
19[Sat  8 Apr 01:13:44 BST 2023]
20[Sat  8 Apr 01:18:47 BST 2023]
21[Sat  8 Apr 01:23:51 BST 2023]
22[Sat  8 Apr 01:28:55 BST 2023]
23[Sat  8 Apr 01:33:59 BST 2023]
24[Sat  8 Apr 01:39:02 BST 2023]
25[Sat  8 Apr 01:44:06 BST 2023]
26[Sat  8 Apr 01:49:10 BST 2023]
27[Sat  8 Apr 01:54:14 BST 2023]
28[Sat  8 Apr 01:59:18 BST 2023]
29[Sat  8 Apr 02:04:21 BST 2023]
30[Sat  8 Apr 02:09:25 BST 2023]
